-------------------------------------------------------------
Rarity Scores for Traits:
-------------------------------------------------------------
Hat/Helmet - Cowboy | rarity score = 3744.00 | frequency = 1 / 3744
Type - Jet Head | rarity score = 1872.00 | frequency = 2 / 3744
Vest/Armor - Knight Armor | rarity score = 1248.00 | frequency = 3 / 3744
Headband - Cobra | rarity score = 1248.00 | frequency = 3 / 3744
Chain - Medallion | rarity score = 1248.00 | frequency = 3 / 3744
Hat/Helmet - FB Helmet Olive | rarity score = 1248.00 | frequency = 3 / 3744
Background - Win95 | rarity score = 1248.00 | frequency = 3 / 3744
Background - Garry | rarity score = 1248.00 | frequency = 3 / 3744
Origin - Art Drop | rarity score = 1248.00 | frequency = 3 / 3744
Shirt/Jacket - Tubesock - Lakers | rarity score = 936.00 | frequency = 4 / 3744
Hat/Helmet - Racer Red | rarity score = 936.00 | frequency = 4 / 3744
Glasses - Classic Shades | rarity score = 936.00 | frequency = 4 / 3744
Vest/Armor - Life Vest | rarity score = 936.00 | frequency = 4 / 3744
Background - Lava | rarity score = 936.00 | frequency = 4 / 3744
Background - Heli | rarity score = 936.00 | frequency = 4 / 3744
Type - Stork | rarity score = 748.80 | frequency = 5 / 3744
Hat/Helmet - FB Helmet Orange | rarity score = 748.80 | frequency = 5 / 3744
Tie - Blue | rarity score = 624.00 | frequency = 6 / 3744
Cape - Superhero | rarity score = 534.86 | frequency = 7 / 3744
Glasses - Pit Vipers | rarity score = 534.86 | frequency = 7 / 3744
Hat/Helmet - Bucket Hat Teal | rarity score = 534.86 | frequency = 7 / 3744
Shirt/Jacket - Big Small Sweater | rarity score = 534.86 | frequency = 7 / 3744
Headband - Gold | rarity score = 534.86 | frequency = 7 / 3744
Type - Alligator | rarity score = 534.86 | frequency = 7 / 3744
Shirt/Jacket - Racing Jacket | rarity score = 534.86 | frequency = 7 / 3744
Hat/Helmet - Baseball Cap Purple | rarity score = 534.86 | frequency = 7 / 3744
Shirt/Jacket - Tubesock - 'Murica | rarity score = 468.00 | frequency = 8 / 3744
Shirt/Jacket - Breakdancer LL | rarity score = 468.00 | frequency = 8 / 3744
Hat/Helmet - FB Helmet Blue | rarity score = 468.00 | frequency = 8 / 3744
Headphones - Purple | rarity score = 468.00 | frequency = 8 / 3744
Glasses - Eye Mask | rarity score = 468.00 | frequency = 8 / 3744
Hat/Helmet - Racer Orange | rarity score = 468.00 | frequency = 8 / 3744
Headband - Purple | rarity score = 416.00 | frequency = 9 / 3744
Hat/Helmet - Baseball Cap White | rarity score = 416.00 | frequency = 9 / 3744
Hat/Helmet - Knight Helmet | rarity score = 374.40 | frequency = 10 / 3744
Hat/Helmet - Knit White | rarity score = 340.36 | frequency = 11 / 3744
Shirt/Jacket - Football - Sheriff | rarity score = 340.36 | frequency = 11 / 3744
Shirt/Jacket - Long Sleeve Pink | rarity score = 340.36 | frequency = 11 / 3744
Hat/Helmet - FB Helmet Green | rarity score = 312.00 | frequency = 12 / 3744
Hat/Helmet - Knit Yellow | rarity score = 312.00 | frequency = 12 / 3744
Hat/Helmet - Lumberjack Hat | rarity score = 288.00 | frequency = 13 / 3744
Hat/Helmet - FB Helmet Red | rarity score = 267.43 | frequency = 14 / 3744
Shirt/Jacket - Football - Bonk | rarity score = 267.43 | frequency = 14 / 3744
Shirt/Jacket - Mingoneck Black | rarity score = 267.43 | frequency = 14 / 3744
Hat/Helmet - Baseball Cap Navy | rarity score = 267.43 | frequency = 14 / 3744
Headband - Dojo | rarity score = 249.60 | frequency = 15 / 3744
Shirt/Jacket - Breakdancer DMC | rarity score = 249.60 | frequency = 15 / 3744
Hat/Helmet - Bucket Hat Purple | rarity score = 249.60 | frequency = 15 / 3744
Headphones - Red | rarity score = 249.60 | frequency = 15 / 3744
Hat/Helmet - Space Helmet | rarity score = 234.00 | frequency = 16 / 3744
Background - Scribe | rarity score = 220.24 | frequency = 17 / 3744
Headband - Green | rarity score = 220.24 | frequency = 17 / 3744
Hat/Helmet - Knit Orange | rarity score = 208.00 | frequency = 18 / 3744
Shirt/Jacket - Puffy Coat Pink | rarity score = 208.00 | frequency = 18 / 3744
Type - Robomingo | rarity score = 197.05 | frequency = 19 / 3744
Shirt/Jacket - Cool G Sweater | rarity score = 197.05 | frequency = 19 / 3744
Glasses - Noggles | rarity score = 197.05 | frequency = 19 / 3744
Facial - Rainbow Vomit | rarity score = 197.05 | frequency = 19 / 3744
Hat/Helmet - Backwards Cap Purple | rarity score = 197.05 | frequency = 19 / 3744
Shirt/Jacket - Granddad Sweater | rarity score = 197.05 | frequency = 19 / 3744
Hair - Long Pink | rarity score = 187.20 | frequency = 20 / 3744
Smoke - Pipe | rarity score = 187.20 | frequency = 20 / 3744
Shirt/Jacket - Satin Gold Jacket | rarity score = 178.29 | frequency = 21 / 3744
Shirt/Jacket - Tubesock - Hawks | rarity score = 178.29 | frequency = 21 / 3744
Shirt/Jacket - Cobra Top | rarity score = 178.29 | frequency = 21 / 3744
Shirt/Jacket - Tubesock - Cavaliers | rarity score = 178.29 | frequency = 21 / 3744
Shirt/Jacket - Fancy Flannel | rarity score = 178.29 | frequency = 21 / 3744
Shirt/Jacket - Scrubs | rarity score = 162.78 | frequency = 23 / 3744
Shirt/Jacket - Bobsled Jacket | rarity score = 162.78 | frequency = 23 / 3744
Hat/Helmet - Knit Purple | rarity score = 162.78 | frequency = 23 / 3744
Shirt/Jacket - Faux Shearling | rarity score = 156.00 | frequency = 24 / 3744
Shirt/Jacket - Football - Cheese Head | rarity score = 156.00 | frequency = 24 / 3744
Shirt/Jacket - Bill Jacket | rarity score = 156.00 | frequency = 24 / 3744
Background - Moon | rarity score = 149.76 | frequency = 25 / 3744
Shirt/Jacket - Tux | rarity score = 149.76 | frequency = 25 / 3744
Shirt/Jacket - Faux Diplomat | rarity score = 149.76 | frequency = 25 / 3744
Shirt/Jacket - Dojo Top | rarity score = 144.00 | frequency = 26 / 3744
Shirt/Jacket - Toga | rarity score = 144.00 | frequency = 26 / 3744
Shirt/Jacket - Hoodie | rarity score = 138.67 | frequency = 27 / 3744
Shirt/Jacket - Faux Fur | rarity score = 138.67 | frequency = 27 / 3744
Hair - Dreads Short | rarity score = 138.67 | frequency = 27 / 3744
Shirt/Jacket - Hef Robe | rarity score = 138.67 | frequency = 27 / 3744
Shirt/Jacket - Blocky Sweater | rarity score = 133.71 | frequency = 28 / 3744
Glasses - VR Blue | rarity score = 133.71 | frequency = 28 / 3744
Shirt/Jacket - Moto Jacket Red | rarity score = 133.71 | frequency = 28 / 3744
Hair - White Shag | rarity score = 133.71 | frequency = 28 / 3744
Background - Punk | rarity score = 133.71 | frequency = 28 / 3744
Shirt/Jacket - Varsity Green | rarity score = 124.80 | frequency = 30 / 3744
Shirt/Jacket - Football - Duke | rarity score = 120.77 | frequency = 31 / 3744
Shirt/Jacket - Varsity Burgundy | rarity score = 120.77 | frequency = 31 / 3744
Headband - Blue | rarity score = 117.00 | frequency = 32 / 3744
Shirt/Jacket - Long Sleeve Olive | rarity score = 117.00 | frequency = 32 / 3744
Shirt/Jacket - Football - Island | rarity score = 113.45 | frequency = 33 / 3744
Headphones - Blue | rarity score = 110.12 | frequency = 34 / 3744
Hat/Helmet - Knit Royal | rarity score = 106.97 | frequency = 35 / 3744
Hat/Helmet - Bucket Hat White | rarity score = 106.97 | frequency = 35 / 3744
Hair - Karen Cut | rarity score = 106.97 | frequency = 35 / 3744
Mouth - Beak Gold | rarity score = 104.00 | frequency = 36 / 3744
Hair - Ponytail | rarity score = 104.00 | frequency = 36 / 3744
Shirt/Jacket - Long Sleeve Grey | rarity score = 101.19 | frequency = 37 / 3744
Shirt/Jacket - Long Sleeve V Blue | rarity score = 101.19 | frequency = 37 / 3744
Background - Nerd | rarity score = 98.53 | frequency = 38 / 3744
Background - This Is Fine | rarity score = 96.00 | frequency = 39 / 3744
Type - Salamander | rarity score = 96.00 | frequency = 39 / 3744
Shirt/Jacket - Argyle Sweater | rarity score = 96.00 | frequency = 39 / 3744
Shirt/Jacket - Tennis Sweater | rarity score = 93.60 | frequency = 40 / 3744
Hair - Long Ginger | rarity score = 93.60 | frequency = 40 / 3744
Background - Purps | rarity score = 93.60 | frequency = 40 / 3744
Shirt/Jacket - Work Jacket | rarity score = 91.32 | frequency = 41 / 3744
Facial - Epic Beard | rarity score = 91.32 | frequency = 41 / 3744
Shirt/Jacket - Varsity Purple | rarity score = 91.32 | frequency = 41 / 3744
Headphones - Black | rarity score = 89.14 | frequency = 42 / 3744
Background - cc0 Sunset | rarity score = 89.14 | frequency = 42 / 3744
Shirt/Jacket - Breakdancer Double Red | rarity score = 89.14 | frequency = 42 / 3744
Shirt/Jacket - Football - Kneel | rarity score = 89.14 | frequency = 42 / 3744
Shirt/Jacket - Ribbed Sweater | rarity score = 87.07 | frequency = 43 / 3744
Shirt/Jacket - Vintage Track Jacket | rarity score = 87.07 | frequency = 43 / 3744
Shirt/Jacket - Mingoneck Aqua | rarity score = 85.09 | frequency = 44 / 3744
Shirt/Jacket - Desert Camo | rarity score = 85.09 | frequency = 44 / 3744
Shirt/Jacket - Jersey - Sammy D | rarity score = 85.09 | frequency = 44 / 3744
Hair - Dreads Long | rarity score = 85.09 | frequency = 44 / 3744
Background - Gruff | rarity score = 83.20 | frequency = 45 / 3744
Facial - Shadow Beard | rarity score = 83.20 | frequency = 45 / 3744
Shirt/Jacket - Puffy Coat Yellow | rarity score = 81.39 | frequency = 46 / 3744
Shirt/Jacket - Football - Megatron | rarity score = 79.66 | frequency = 47 / 3744
Shirt/Jacket - Long Sleeve Natural | rarity score = 79.66 | frequency = 47 / 3744
Hair - Frump | rarity score = 79.66 | frequency = 47 / 3744
Shirt/Jacket - Long Sleeve Deep V | rarity score = 74.88 | frequency = 50 / 3744
Shirt/Jacket - Moto Jacket Black | rarity score = 74.88 | frequency = 50 / 3744
Background - Havana | rarity score = 74.88 | frequency = 50 / 3744
Shirt/Jacket - Lumberjack Flannel | rarity score = 68.07 | frequency = 55 / 3744
Shirt/Jacket - Camo Jacket | rarity score = 65.68 | frequency = 57 / 3744
Shirt/Jacket - Varsity Blue | rarity score = 65.68 | frequency = 57 / 3744
Glasses - VR Red | rarity score = 63.46 | frequency = 59 / 3744
Shirt/Jacket - Breakdancer Elite | rarity score = 62.40 | frequency = 60 / 3744
Shirt/Jacket - Mingoneck White | rarity score = 60.39 | frequency = 62 / 3744
Hat/Helmet - Backwards Cap Olive | rarity score = 59.43 | frequency = 63 / 3744
Shirt/Jacket - Spacesuit | rarity score = 58.50 | frequency = 64 / 3744
Shirt/Jacket - Dress Shirt Pink | rarity score = 57.60 | frequency = 65 / 3744
Shirt/Jacket - Puffy Coat Orange | rarity score = 56.73 | frequency = 66 / 3744
Shirt/Jacket - Puffy Coat Red | rarity score = 52.73 | frequency = 71 / 3744
Shirt/Jacket - Long Sleeve V Red | rarity score = 52.00 | frequency = 72 / 3744
Shirt/Jacket - Long Sleeve V Pink | rarity score = 50.59 | frequency = 74 / 3744
Glasses - Nerd Glasses | rarity score = 50.59 | frequency = 74 / 3744
Hair - Flat Top | rarity score = 49.92 | frequency = 75 / 3744
Shirt/Jacket - Pajamas | rarity score = 48.62 | frequency = 77 / 3744
Shirt/Jacket - Moto Jacket Yellow | rarity score = 45.11 | frequency = 83 / 3744
Shirt/Jacket - Long Sleeve V Aqua | rarity score = 45.11 | frequency = 83 / 3744
Shirt/Jacket - Puffy Coat Green | rarity score = 45.11 | frequency = 83 / 3744
Shirt/Jacket - Breakdancer Blue | rarity score = 45.11 | frequency = 83 / 3744
Shirt/Jacket - French Navy Sweater | rarity score = 44.05 | frequency = 85 / 3744
Shirt/Jacket - Bathrobe | rarity score = 43.03 | frequency = 87 / 3744
Facial - Solid Beard | rarity score = 41.14 | frequency = 91 / 3744
Shirt/Jacket - Tie-Dye | rarity score = 39.83 | frequency = 94 / 3744
Shirt/Jacket - Long Sleeve White | rarity score = 39.41 | frequency = 95 / 3744
Shirt/Jacket - Blue Flannel | rarity score = 38.60 | frequency = 97 / 3744
Glasses - 3D Glasses | rarity score = 38.60 | frequency = 97 / 3744
Glasses - Purp Nerd | rarity score = 38.60 | frequency = 97 / 3744
Shirt/Jacket - Puffy Coat Blue | rarity score = 38.20 | frequency = 98 / 3744
Shirt/Jacket - Hawaiian | rarity score = 36.00 | frequency = 104 / 3744
Hair - Long Blonde | rarity score = 35.66 | frequency = 105 / 3744
Smoke - Cig | rarity score = 35.32 | frequency = 106 / 3744
Glasses - Havana Shades | rarity score = 34.35 | frequency = 109 / 3744
Chain - Gold | rarity score = 33.73 | frequency = 111 / 3744
Hair - Afro | rarity score = 31.20 | frequency = 120 / 3744
Hat/Helmet - Baseball Cap Black | rarity score = 30.44 | frequency = 123 / 3744
Headphones - Gaming Headset | rarity score = 29.95 | frequency = 125 / 3744
Shirt/Jacket - Dress Shirt Blue | rarity score = 28.80 | frequency = 130 / 3744
Shirt/Jacket - Dress Shirt White | rarity score = 28.58 | frequency = 131 / 3744
Background - Null | rarity score = 28.15 | frequency = 133 / 3744
Type - Invisimingo | rarity score = 26.94 | frequency = 139 / 3744
Hair - Shaggy | rarity score = 26.74 | frequency = 140 / 3744
Hat/Helmet - Backwards Cap Black | rarity score = 26.00 | frequency = 144 / 3744
Hair - Long Black | rarity score = 23.11 | frequency = 162 / 3744
Type - Mingo Crab | rarity score = 22.97 | frequency = 163 / 3744
Hat/Helmet - Backwards Cap Blue | rarity score = 22.83 | frequency = 164 / 3744
Hat/Helmet - Backwards Cap White | rarity score = 20.92 | frequency = 179 / 3744
Hat/Helmet - Backwards Cap Red | rarity score = 20.69 | frequency = 181 / 3744
Type - Mingo Gruff | rarity score = 12.61 | frequency = 297 / 3744
Type - Mingo Barbie | rarity score = 6.24 | frequency = 600 / 3744
Type - Mingo Mollusk | rarity score = 4.30 | frequency = 870 / 3744
Type - Mingo Shrimp | rarity score = 2.34 | frequency = 1603 / 3744
